1 2 3
3 4 13
3 7 14
5 7 15
5 12 13
6 11 15
8 11 14
9 13 15
10 12 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 9 10
3 4 13
3 7 14
5 7 15
5 12 14
6 11 15
8 14 15
9 11 13
10 12 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 9 10
3 4 13
3 7 14
5 7 15
5 13 14
6 14 15
8 11 15
9 11 12
10 12 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 9 13
3 4 14
3 7 15
5 12 13
5 14 15
6 10 15
7 10 14
8 11 13
9 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 9 13
3 4 14
3 7 15
5 12 14
5 13 15
6 10 13
7 11 12
8 10 15
9 11 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 9 13
3 4 14
3 7 15
5 12 14
5 13 15
6 10 15
7 11 14
8 10 13
9 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 9 13
3 4 14
3 7 15
5 12 15
5 13 14
6 10 13
7 11 12
8 11 15
9 10 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 13
3 11 14
5 7 14
5 9 15
6 14 15
7 8 15
9 10 12
11 12 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 13
3 14 15
5 7 14
5 12 15
6 11 14
7 8 15
9 10 12
9 11 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 10 15
5 7 9
5 12 13
6 11 15
7 11 14
8 13 15
9 12 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 10 15
5 7 9
5 12 14
6 11 13
7 12 15
8 11 15
9 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 10 15
5 7 9
5 12 14
6 11 15
7 14 15
8 11 13
9 12 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 10 15
5 7 9
5 12 15
6 11 13
7 12 14
8 13 15
9 11 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 11 13
5 7 12
5 9 14
6 10 15
7 9 15
8 11 15
12 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 11 13
5 7 12
5 9 15
6 10 15
7 9 14
8 13 15
11 12 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 11 13
5 7 14
5 9 12
6 11 15
7 9 15
8 10 15
12 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 11 13
5 7 14
5 9 15
6 13 15
7 9 12
8 10 15
11 12 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 11 15
5 7 12
5 9 13
6 10 15
7 11 14
8 13 15
9 12 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 11 15
5 7 12
5 9 14
6 10 15
7 14 15
8 11 13
9 12 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 11 15
5 7 14
5 9 12
6 11 13
7 12 15
8 10 15
9 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 11 15
5 7 14
5 9 13
6 13 15
7 11 12
8 10 15
9 12 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 12 13
5 7 15
5 13 14
6 9 15
7 9 11
8 11 15
10 12 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 10 13
3 4 14
3 12 15
5 7 15
5 13 14
6 9 13
7 11 12
8 11 15
9 10 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 9 13
3 5 14
3 7 15
4 11 13
5 10 15
6 14 15
7 10 14
8 12 13
9 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 9 13
3 5 14
3 7 15
4 11 15
5 10 13
6 13 14
7 11 12
8 12 15
9 10 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 9 13
3 5 14
3 7 15
4 13 14
5 13 15
6 14 15
7 10 11
8 10 12
9 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 11 13
3 5 14
3 10 13
4 9 15
5 7 15
6 13 14
7 9 12
8 12 15
10 11 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 11 13
3 5 14
3 10 15
4 9 13
5 7 15
6 14 15
7 10 14
8 12 13
9 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 11 13
3 5 14
3 12 13
4 13 14
5 7 15
6 9 15
7 9 10
8 10 15
11 12 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 11 13
3 5 14
3 12 13
4 14 15
5 7 15
6 9 15
7 9 14
8 10 13
10 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 11 13
3 5 14
3 12 15
4 13 15
5 7 15
6 9 14
7 10 14
8 12 13
9 10 11

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 13 14
3 5 13
3 12 14
4 13 15
5 12 15
6 9 11
7 8 10
7 9 15
10 11 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 8 11
2 4 12
2 13 14
3 5 13
3 12 15
4 13 15
5 12 14
6 9 11
7 8 10
7 11 15
9 10 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 11 12
2 4 13
2 11 14
3 10 11
3 13 14
4 8 15
5 7 8
5 13 15
6 9 12
7 9 15
10 12 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 10
1 11 12
2 4 13
2 11 14
3 10 14
3 13 15
4 8 15
5 7 15
5 13 14
6 9 12
7 8 12
9 10 11

1 2 3
0 4 5
0 6 7
0 8 9
1 10 11
1 12 13
2 10 12
2 11 14
3 11 13
3 12 14
4 6 15
4 7 8
5 6 9
5 8 15
7 9 15
10 13 14
