1 2 3
12 13 18
14 17 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 16 17
9 15 18
10 11 19
10 13 17
11 12 18
12 15 19
13 16 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 16 17
9 17 18
10 11 18
10 17 19
11 12 19
12 13 15
13 14 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 16 17
9 18 19
10 11 18
10 17 19
11 12 19
12 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 17 18
9 17 19
10 11 18
10 16 17
11 15 19
12 13 15
12 14 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 17 18
9 17 19
10 11 18
10 16 19
11 15 17
12 13 16
12 14 19
13 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 16 17
8 16 18
9 14 19
10 13 17
10 16 19
11 12 15
11 14 18
12 17 19
13 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 10
3 6 12
5 8 13
7 14 15
9 16 17
10 18 19
11 16 18
11 17 19
12 14 19
12 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 11
3 6 12
5 13 14
7 8 15
9 16 17
10 16 18
10 17 19
11 18 19
12 13 19
12 14 18
13 15 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 12 14
7 15 16
8 10 17
9 15 18
10 16 19
11 13 19
11 14 18
12 18 19
13 16 17
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 12 14
7 15 16
8 10 17
9 15 18
10 18 19
11 13 19
11 17 18
12 16 19
13 14 16
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 12 14
7 15 16
8 10 17
9 18 19
10 15 18
11 14 19
11 17 18
12 16 19
13 14 16
13 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 13 14
7 15 16
8 15 17
9 10 18
10 17 19
11 12 19
11 17 18
12 14 16
13 16 19
14 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 13 14
7 15 16
8 17 18
9 10 19
10 15 17
11 14 18
11 17 19
12 14 16
12 15 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 13 17
9 12 18
10 11 19
10 16 17
11 15 18
12 15 19
13 16 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 13 17
9 12 18
10 11 19
10 16 18
11 15 17
12 16 19
13 15 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 15 17
9 16 18
10 11 19
10 12 18
11 13 17
12 16 19
13 15 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 15 17
9 17 18
10 11 18
10 12 19
11 17 19
12 13 16
13 14 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 15 17
9 18 19
10 11 18
10 12 19
11 17 19
12 16 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 16 17
9 15 18
10 11 19
10 13 17
11 12 18
12 15 19
13 16 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 16 17
9 17 18
10 11 18
10 17 19
11 12 19
12 13 15
13 14 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 16 17
9 18 19
10 11 18
10 17 19
11 12 19
12 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 17 18
9 17 19
10 11 18
10 16 17
11 15 19
12 13 15
12 14 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 17 18
9 17 19
10 11 18
10 16 19
11 15 17
12 13 16
12 14 19
13 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 13 18
9 12 19
10 16 18
10 17 19
11 14 19
11 15 18
12 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 16
9 15 18
10 12 19
10 13 17
11 12 18
11 15 19
13 16 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 16
9 17 18
10 12 18
10 17 19
11 12 19
11 13 15
13 14 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 16
9 18 19
10 12 18
10 17 19
11 12 19
11 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 18
9 15 19
10 12 16
10 13 17
11 14 19
11 15 18
12 17 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 18
9 16 18
10 12 17
10 16 19
11 13 15
11 14 19
12 13 19
15 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 18
9 16 19
10 12 17
10 16 18
11 13 15
11 14 19
12 15 19
13 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 18
9 16 19
10 12 17
10 18 19
11 13 18
11 14 19
12 15 16
13 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 18
9 16 19
10 12 19
10 17 18
11 13 18
11 15 19
12 15 16
13 14 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 18
9 18 19
10 12 16
10 17 19
11 14 19
11 15 18
12 13 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 16 18
9 14 18
10 13 17
10 16 19
11 12 15
11 14 19
12 13 19
15 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 16 18
9 14 19
10 13 17
10 16 19
11 12 15
11 14 18
12 17 19
13 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 16 18
9 14 19
10 13 17
10 18 19
11 12 19
11 14 18
12 15 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 16 18
9 14 19
10 13 18
10 17 19
11 12 19
11 15 18
12 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 16 18
9 18 19
10 16 19
10 17 18
11 12 14
11 15 19
12 13 15
13 14 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 8
3 4 7
3 10 12
5 9 13
6 14 15
9 16 17
10 18 19
11 16 18
11 17 19
12 14 19
12 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 8
3 4 7
3 12 13
5 14 15
6 16 17
9 14 16
9 15 18
10 12 19
10 13 17
11 12 18
11 15 19
13 16 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 8
3 4 7
3 12 13
5 14 15
6 16 17
9 14 16
9 18 19
10 12 18
10 17 19
11 12 19
11 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 8
3 4 7
3 12 13
5 14 15
6 16 17
9 14 18
9 16 19
10 12 19
10 17 18
11 13 18
11 15 19
12 15 16
13 14 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 11 14
6 10 15
8 16 17
9 18 19
10 16 18
11 17 19
12 14 19
12 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 12 14
6 15 16
8 10 17
9 18 19
10 15 18
11 14 19
11 17 18
12 16 19
13 14 16
13 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 13 14
6 15 16
8 17 18
9 10 19
10 15 17
11 14 18
11 17 19
12 14 16
12 15 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 15 17
9 16 18
10 11 19
10 12 18
11 13 17
12 16 19
13 15 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 15 17
9 17 18
10 11 18
10 12 19
11 17 19
12 13 16
13 14 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 15 17
9 18 19
10 11 18
10 12 19
11 17 19
12 16 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 16 17
9 15 18
10 11 19
10 13 17
11 12 18
12 15 19
13 16 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 16 17
9 17 18
10 11 18
10 17 19
11 12 19
12 13 15
13 14 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 16 17
9 18 19
10 11 18
10 17 19
11 12 19
12 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 17 18
9 17 19
10 11 18
10 16 17
11 15 19
12 13 15
12 14 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 17 18
9 17 19
10 11 18
10 16 19
11 15 17
12 13 16
12 14 19
13 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 13 18
9 12 19
10 16 18
10 17 19
11 14 19
11 15 18
12 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 14 16
9 15 18
10 12 19
10 13 17
11 12 18
11 15 19
13 16 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 14 16
9 18 19
10 12 18
10 17 19
11 12 19
11 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 14 18
9 15 19
10 12 16
10 13 17
11 14 19
11 15 18
12 17 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 14 18
9 16 18
10 12 17
10 16 19
11 13 15
11 14 19
12 13 19
15 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 14 18
9 16 19
10 12 17
10 16 18
11 13 15
11 14 19
12 15 19
13 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 14 18
9 16 19
10 12 17
10 18 19
11 13 18
11 14 19
12 15 16
13 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 14 18
9 16 19
10 12 19
10 17 18
11 13 18
11 15 19
12 15 16
13 14 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 14 18
9 18 19
10 12 16
10 17 19
11 14 19
11 15 18
12 13 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 16 18
9 14 18
10 13 17
10 16 19
11 12 15
11 14 19
12 13 19
15 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 16 18
9 14 19
10 13 17
10 16 19
11 12 15
11 14 18
12 17 19
13 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 16 18
9 14 19
10 13 17
10 18 19
11 12 19
11 14 18
12 15 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 16 18
9 14 19
10 13 18
10 17 19
11 12 19
11 15 18
12 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 16 18
9 18 19
10 16 19
10 17 18
11 12 14
11 15 19
12 13 15
13 14 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 10 13
5 9 14
6 15 16
7 8 17
9 15 18
10 16 19
11 13 19
11 14 18
12 18 19
13 16 17
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 11 13
5 14 15
6 9 16
7 8 17
9 14 18
10 13 19
10 16 18
11 15 19
12 18 19
13 15 17
14 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 13 15
6 14 16
7 8 17
9 10 18
9 11 19
10 16 19
11 15 18
12 18 19
13 16 17
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 13 15
6 16 17
7 8 18
9 10 16
9 15 17
10 14 19
11 13 19
11 14 18
12 17 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 13 15
6 16 17
7 8 18
9 10 16
9 17 18
10 17 19
11 13 19
11 14 15
12 14 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 13 15
6 16 17
7 8 18
9 10 19
9 15 16
10 14 17
11 14 18
11 15 19
12 16 19
13 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 13 15
7 8 17
9 11 18
9 16 19
10 11 19
10 14 18
12 18 19
13 16 17
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 13 17
7 8 18
9 11 15
9 16 17
10 13 19
10 14 18
11 14 19
12 16 19
15 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 13 17
7 8 18
9 11 15
9 16 18
10 13 19
10 14 17
11 16 19
12 14 19
15 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 13 17
7 8 18
9 11 15
9 17 19
10 13 19
10 17 18
11 14 16
12 16 19
14 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 13 17
7 8 18
9 11 19
9 15 17
10 14 18
10 17 19
11 14 16
12 15 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 13 17
7 8 18
9 11 19
9 15 17
10 14 19
10 17 18
11 14 16
12 16 19
13 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 17 18
7 8 13
9 12 19
9 15 17
10 14 18
10 17 19
11 14 16
11 15 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 17 18
7 8 17
9 15 18
9 16 19
10 13 19
10 14 18
11 12 19
11 13 16
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 17 18
7 8 19
9 15 17
9 16 18
10 13 18
10 14 19
11 13 19
11 14 15
12 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 17 18
7 8 19
9 15 17
9 18 19
10 13 18
10 17 19
11 13 16
11 14 15
12 14 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 11
5 9 14
6 9 15
7 16 17
8 16 18
10 17 19
11 18 19
12 13 19
12 14 18
13 15 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 11
5 9 14
6 9 15
7 16 17
8 16 18
10 18 19
11 17 19
12 13 19
12 15 18
13 14 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 11
5 9 14
6 9 15
7 16 17
8 18 19
10 16 18
11 17 19
12 14 19
12 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 12
5 9 14
6 15 16
7 9 17
8 15 18
10 16 19
11 13 19
11 14 18
12 18 19
13 16 17
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 12
5 9 14
6 15 16
7 9 17
8 15 18
10 18 19
11 13 19
11 17 18
12 16 19
13 14 16
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 12
5 9 14
6 15 16
7 9 17
8 18 19
10 15 18
11 14 19
11 17 18
12 16 19
13 14 16
13 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 14 18
9 13 19
10 16 18
11 15 19
12 18 19
13 15 17
14 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 14 18
9 13 19
10 16 19
11 15 18
12 18 19
13 16 17
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 14 18
9 13 19
10 17 18
11 18 19
12 15 19
13 15 16
14 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 14 18
9 13 19
10 17 19
11 18 19
12 15 18
13 16 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 15 18
9 16 18
10 13 19
11 14 19
12 18 19
13 14 17
15 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 15 18
9 16 19
10 13 19
11 14 18
12 18 19
13 16 17
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 15 18
9 17 18
10 13 19
11 18 19
12 14 19
13 14 16
15 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 15 18
9 17 19
10 13 19
11 18 19
12 14 18
13 16 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 16 18
9 17 18
10 18 19
11 13 19
12 14 19
13 14 15
15 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 16 18
9 17 19
10 18 19
11 13 19
12 14 18
13 15 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 16 18
9 18 19
10 17 18
11 13 19
12 15 19
13 14 15
14 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 16 18
9 18 19
10 17 19
11 13 19
12 15 18
13 14 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 17 18
9 16 18
10 18 19
11 14 19
12 13 19
13 14 15
15 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 17 18
9 16 19
10 18 19
11 14 18
12 13 19
13 15 16
14 15 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 17 18
9 18 19
10 16 18
11 15 19
12 13 19
13 14 15
14 16 17

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
